,Gene.title,P.Value
142,methyl-CpG binding domain protein 3 like 1,0.0737
143,methyl-CpG binding domain protein 3 like 1,0.507
144,family with sequence similarity 46 member D,0.0666
145,serpin family B member 11 (gene/pseudogene),0.578
146,long intergenic non-protein coding RNA 161,0.896
147,Down syndrome critical region 10 (non-protein coding),0.0237
148,Down syndrome critical region 10 (non-protein coding),0.428
149,abhydrolase domain containing 11,0.0333
150,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",3.57e-05
151,guanidinoacetate N-methyltransferase,0.0587
152,guanidinoacetate N-methyltransferase,0.0726
153,phospholipase C delta 3,0.105
154,interferon regulatory factor 6,0.459
155,interferon regulatory factor 6,0.591
156,"protein tyrosine phosphatase, receptor type C",0.000659
157,mannosidase alpha class 1A member 2,0.887
158,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,0.435
159,"Smith-Magenis syndrome chromosome region, candidate 8",0.507
160,lactamase beta,0.0001
161,lactamase beta,1.01e-05
162,basonuclin 1,0.256
163,membrane palmitoylated protein 4,0.775
164,lactation elevated 1,0.711
165,isopentenyl-diphosphate delta isomerase 2,0.881
166,cytochrome P450 family 11 subfamily B member 1,0.388
167,TATA-box binding protein associated factor 8,0.322
168,cordon-bleu WH2 repeat protein,0.508
169,SLAM family member 6,0.241
170,zinc finger and SCAN domain containing 20,0.476
171,zinc finger and SCAN domain containing 20,0.947
172,G protein-coupled bile acid receptor 1,0.0197
173,rhomboid like 2,0.165
174,Fraser extracellular matrix complex subunit 1,0.634
175,BR serine/threonine kinase 1,0.747
176,"crumbs 2, cell polarity complex component",0.808
177,potassium voltage-gated channel subfamily E regulatory subunit 4,0.387
178,potassium voltage-gated channel subfamily E regulatory subunit 4,0.351
179,CD300 molecule like family member g,0.138
180,solute carrier family 34 member 3,0.0645
181,carboxypeptidase A6,0.625
182,WBP2 N-terminal like,0.423
183,homeodomain interacting protein kinase 1,0.128
184,homeodomain interacting protein kinase 1,0.211
185,MDM2 binding protein,0.811
186,activin A receptor type 1C,0.29
187,transmembrane protein 74,0.842
188,transmembrane protein 74,0.184
189,tigger transposable element derived 4,0.452
190,tigger transposable element derived 4,0.571
191,ADP-ribosyltransferase 5,0.218
192,family with sequence similarity 71 member C,0.727
193,long intergenic non-protein coding RNA 1547,0.279
194,NLR family pyrin domain containing 11,0.448
195,ATPase H+ transporting V1 subunit C2,0.392
196,claudin 19,0.631
197,vesicle transport through interaction with t-SNAREs 1A,0.0709
198,kinesin family member 6,0.215
199,IQ motif containing D,0.446
200,T-cell activation RhoGTPase activating protein,0.46
201,T-cell activation RhoGTPase activating protein,0.0264
202,stonin 2,0.306
203,serpin family A member 12,0.378
204,leucine zipper and EF-hand containing transmembrane protein 2,0.87
205,barttin CLCNK type accessory beta subunit,0.529
206,barttin CLCNK type accessory beta subunit,0.968
207,C-type lectin domain family 4 member C,0.01
208,NLR family CARD domain containing 4,0.0417
209,NLR family CARD domain containing 4,0.124
210,"protease, serine 36",0.465
211,zinc finger DHHC-type containing 15,0.349
212,retinoic acid induced 1,0.00786
213,cyclin dependent kinase 15,0.842
214,zinc finger protein 570,0.709
215,,0.389
216,nudix hydrolase 9 pseudogene 1,0.971
217,BTB domain containing 16,0.593
218,receptor transporter protein 3,0.321
219,receptor transporter protein 3,0.144
220,thrombospondin type laminin G domain and EAR repeats,0.318
221,mirror-image polydactyly 1,0.509
222,mirror-image polydactyly 1,0.133
223,chromosome 6 open reading frame 141,0.083
224,"ALMS1, centrosome and basal body associated protein pseudogene 1",0.321
225,myosin IIIB,0.423
226,ADAM metallopeptidase domain 21,0.299
227,tripartite motif family like 2,0.0212
228,ATP binding cassette subfamily C member 13 (pseudogene),0.327
229,ATP binding cassette subfamily C member 13 (pseudogene),0.0676
230,interleukin 12 receptor subunit beta 1,2.47e-05
231,general transcription factor IIA subunit 1 like,0.248
232,transient receptor potential cation channel subfamily V member 3,0.61
233,cyclic nucleotide binding domain containing 1,0.785
234,cyclic nucleotide binding domain containing 1,0.364
235,ATP binding cassette subfamily C member 12,0.491
236,matrix metallopeptidase 21,0.796
237,transmembrane protein 190,0.522
238,growth arrest specific 2 like 2,0.598
239,potassium voltage-gated channel modifier subfamily G member 4,0.265
240,"peroxisomal, testis specific 1",0.448
241,calcium voltage-gated channel auxiliary subunit gamma 5,0.0108
242,long intergenic non-protein coding RNA 308,0.551
243,long intergenic non-protein coding RNA 308,0.403
244,family with sequence similarity 223 member A (non-protein coding)///family with sequence similarity 223 member B (non-protein coding),0.0195
245,WAP four-disulfide core domain 11,0.482
246,interferon lambda 3///interferon lambda 2,0.16
247,Janus kinase 1,0.00148
248,Janus kinase 1,0.334
249,CDC42 small effector 2,2.95e-05
250,CDC42 small effector 2,0.00162
251,acetyl-CoA carboxylase beta,0.000129
252,acetyl-CoA carboxylase beta,0.557
253,ring finger and WD repeat domain 2,8.52e-06
254,syntaxin 6,6.45e-07
255,anillin actin binding protein,0.189
256,small proline rich protein 4,0.000192
257,uroplakin 3B-like///RNA polymerase II subunit J3///RNA polymerase II subunit J2///RNA polymerase II subunit J,0.318
258,"uroplakin 3B-like///RNA polymerase II subunit J3///PMS1 homolog 2, mismatch repair system component pseudogene///RNA polymerase II subunit J2///RNA polymerase II subunit J",0.384
259,hematopoietic SH2 domain containing,0.835
260,tRNA nucleotidyl transferase 1,0.598
261,transmembrane protein 163,0.986
262,Rho GTPase activating protein 5,0.00742
263,HERPUD family member 2,2.2e-05
264,arginine demethylase and lysine hydroxylase,0.977
265,Snf2-related CREBBP activator protein,0.815
266,mitogen-activated protein kinase kinase kinase 6,0.123
267,arylsulfatase G,2.56e-05
268,zinc finger protein 101,0.00711
269,zinc finger protein 101,0.000184
270,"protein tyrosine phosphatase, non-receptor type 11",0.247
271,kelch domain containing 7B,0.0663
272,"ATPase family, AAA domain containing 3B///ATPase family, AAA domain containing 3A",0.371
273,zinc finger protein 626,2.92e-05
274,polyhomeotic homolog 3,3.6e-06
275,interleukin 11 receptor subunit alpha,0.164
276,TNF receptor superfamily member 10a,0.792
277,RAD51L3-RFFL readthrough///ring finger and FYVE-like domain containing E3 ubiquitin protein ligase,0.00361
278,RAD51L3-RFFL readthrough///ring finger and FYVE-like domain containing E3 ubiquitin protein ligase,0.00145
279,"HPS4, biogenesis of lysosomal organelles complex 3 subunit 2",0.0223
280,U2AF homology motif (UHM) kinase 1,0.222
281,thioredoxin domain containing 2,0.0835
282,neuron navigator 3,0.573
283,chromosome 5 open reading frame 22,2.36e-08
284,"protocadherin gamma subfamily B, 7",0.24
285,"protocadherin gamma subfamily B, 7",0.399
286,ELKS/RAB6-interacting/CAST family member 1,0.642
287,folliculin,0.00142
288,JMJD1C antisense RNA 1,0.335
289,leucine rich repeat containing 7,0.0223
290,SH2 domain containing 3C,0.029
291,protein phosphatase 1 regulatory subunit 3B,0.0561
292,protein phosphatase 1 regulatory subunit 3B,1.93e-05
293,solute carrier family 9 member A7,0.689
294,immunoglobulin superfamily member 3,0.709
295,regulatory factor X6,0.0422
296,disrupted in renal carcinoma 1,0.483
297,DnaJ heat shock protein family (Hsp40) member B7,0.0035
298,urocortin 3,0.142
299,disco interacting protein 2 homolog A,0.172
300,ubiquitin specific peptidase 28,0.0119
301,kinetochore scaffold 1,0.649
302,kinetochore scaffold 1,0.103
303,"SUMO/sentrin peptidase family member, NEDD8 specific",0.786
304,grainyhead like transcription factor 1,0.687
305,cyclic nucleotide binding domain containing 2,0.0634
306,cyclic nucleotide binding domain containing 2,0.117
307,CASK interacting protein 1,0.0151
308,calcium voltage-gated channel auxiliary subunit alpha2delta 4,0.186
309,ADP ribosylation factor like GTPase 11,0.928
310,ADP ribosylation factor like GTPase 11,0.67
311,solute carrier family 2 member 13,0.428
312,solute carrier family 2 member 13,0.339
313,non imprinted in Prader-Willi/Angelman syndrome 1,0.0593
314,tubulin alpha 3f pseudogene,0.636
315,caspase recruitment domain family member 16,0.241
316,caspase recruitment domain family member 16///caspase 1,0.309
317,dual specificity phosphatase 19,0.602
318,dual specificity phosphatase 19,0.545
319,cytochrome b5 domain containing 1,0.693
320,nicotinamide nucleotide adenylyltransferase 2,0.189
321,solute carrier family 4 member 1 (Diego blood group),0.109
322,cellular repressor of E1A stimulated genes 2,0.185
323,relaxin/insulin like family peptide receptor 1,0.369
324,sperm flagellar 2,0.845
325,centrosomal protein 170 pseudogene 1///centrosomal protein 170,1.24e-05
326,D-tyrosyl-tRNA deacylase 1,0.0532
327,cancer susceptibility candidate 4,0.00214
328,fibroblast growth factor 1,0.318
329,cAMP regulated phosphoprotein 21,0.5
330,Rhox homeobox family member 1,0.521
331,ADAM metallopeptidase with thrombospondin type 1 motif 17,0.315
332,ADAM metallopeptidase with thrombospondin type 1 motif 17,0.353
333,ADAM metallopeptidase with thrombospondin type 1 motif 17,0.1
334,"small nucleolar RNA, H/ACA box 17B///small nucleolar RNA, H/ACA box 17A///small nucleolar RNA host gene 7",0.000219
335,desert hedgehog,0.996
336,actin binding Rho activating protein,0.401
337,actin binding Rho activating protein,0.675
338,kelch domain containing 1,0.861
339,RPTOR independent companion of MTOR complex 2,0.0231
340,"protocadherin gamma subfamily A, 4",0.586
341,neuropilin and tolloid like 1,0.145
342,WW domain containing E3 ubiquitin protein ligase 2,0.00996
343,suppression of tumorigenicity 7 like,0.319
344,suppression of tumorigenicity 7 like,0.933
345,chromosome 2 open reading frame 15,0.834
346,potassium voltage-gated channel subfamily H member 8,0.00389
347,MCF.2 cell line derived transforming sequence like,0.37
348,solute carrier organic anion transporter family member 6A1,0.674
349,protein phosphatase 2C like domain containing 1,0.511
350,kinesin light chain 3,0.3
351,calcium and integrin binding family member 3,0.16
352,calcium and integrin binding family member 3,0.787
353,cell adhesion molecule 2,0.000438
354,cell adhesion molecule 2,0.333
355,chromosome 9 open reading frame 66,0.0251
356,chromosome 9 open reading frame 66,0.969
357,histone deacetylase 9,0.819
358,histone deacetylase 9,0.0557
359,solute carrier family 16 member 11,0.926
360,transmembrane protein 67,0.098
361,transmembrane protein 67,0.678
362,heparan sulfate 6-O-sulfotransferase 2,0.524
363,heparan sulfate 6-O-sulfotransferase 2,0.626
364,calcium/calmodulin dependent protein kinase kinase 1,0.413
365,zinc finger protein 625,0.741
366,zinc finger protein 563,0.709
367,lin-9 DREAM MuvB core complex component,0.184
368,C-type lectin domain family 4 member D,0.25
369,C-type lectin domain family 4 member D,0.796
370,solute carrier family 25 member 27,0.575
371,G protein-coupled receptor class C group 6 member A,0.306
372,retinoic acid early transcript 1E,0.0156
373,solute carrier family 44 member 5,0.102
374,solute carrier family 44 member 5,0.659
375,zinc finger protein 417,0.679
376,zinc finger protein 781,0.0197
377,DNA helicase B,0.386
378,DNA helicase B,0.875
379,"SEC62 homolog, preprotein translocation factor",0.458
380,"SEC62 homolog, preprotein translocation factor",0.743
381,triadin,0.212
382,suppressor of cytokine signaling 4,0.0452
383,chromosome 8 open reading frame 31,0.45
384,zinc finger protein 547,0.201
385,single-minded family bHLH transcription factor 1,0.248
386,prominin 2,0.0539
387,toll like receptor 4,6.63e-05
388,t-SNARE domain containing 1,0.328
389,abhydrolase domain containing 11,0.792
390,calpain 13,0.599
391,stathmin 1,0.928
392,TIR domain containing adaptor protein,1.64e-06
393,sialic acid binding Ig like lectin 10,0.000197
394,sialic acid binding Ig like lectin 10,0.0603
395,ADAMTS like 1,0.726
396,regulatory factor X4,0.115
397,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1",0.807
398,SUMO1/sentrin specific peptidase 1,0.000126
399,Kruppel like factor 14,0.0294
400,Kruppel like factor 14,0.0888
401,nucleoredoxin-like 2,0.0878
402,bombesin receptor subtype 3,0.111
403,long intergenic non-protein coding RNA 205,0.229
404,thioredoxin related transmembrane protein 3,0.769
405,zinc finger protein 396,0.228
406,solute carrier family 26 member 7,0.0483
407,solute carrier family 26 member 7,0.992
408,sorting nexin 18,0.166
409,,0.636
410,F-box protein 39,0.502
411,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",0.699
412,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",0.803
413,DENN domain containing 1B,0.439
414,zinc finger protein 619,0.217
415,intestinal cell (MAK-like) kinase,0.751
416,family with sequence similarity 71 member D,0.259
417,BCL2 like 14,0.231
418,heparan sulfate 6-O-sulfotransferase 3,0.643
419,solute carrier family 26 member 1,0.145
420,claudin 15,0.366
421,"RAB42, member RAS oncogene family",0.358
422,patched domain containing 1,0.398
423,meiosis 1 associated protein,0.172
424,zinc finger and SCAN domain containing 4,0.137
425,zinc finger and SCAN domain containing 4,0.268
426,von Willebrand factor A domain containing 5B1,0.386
427,von Willebrand factor A domain containing 5B1,0.12
428,long intergenic non-protein coding RNA 311,0.326
429,5-hydroxytryptamine receptor 6,0.185
430,MAGE family member B6,0.517
431,RNA polymerase II transcription factor SIII subunit A3-like///RNA polymerase II transcription factor SIII subunit A3-like///RNA polymerase II transcription factor SIII subunit A3-like///RNA polymerase II transcription factor SIII subunit A3-like///transcription elongation factor B subunit 3C like 2///transcription elongation factor B subunit 3C like///transcription elongation factor B subunit 3C,0.136
432,RUSC1 antisense RNA 1,2.24e-05
433,calcium voltage-gated channel auxiliary subunit gamma 6,0.18
434,lamin tail domain containing 1,0.397
435,,1.09e-06
436,CIRBP antisense RNA 1,0.00396
437,axonemal dynein light chain domain containing 1,0.221
438,ASMTL antisense RNA 1,0.0577
439,ASMTL antisense RNA 1,0.219
440,CD200 receptor 1,0.815
441,long intergenic non-protein coding RNA 334,0.129
442,long intergenic non-protein coding RNA 334,0.0619
443,atonal bHLH transcription factor 7,0.371
444,atonal bHLH transcription factor 7,0.882
445,"SEC16 homolog B, endoplasmic reticulum export factor",0.434
446,APC membrane recruitment protein 1,0.521
447,NK6 homeobox 3,0.991
448,NK6 homeobox 3,0.000805
449,"thymus, brain and testes associated",0.828
450,exocyst complex component 3 like 2,0.000691
451,calcium binding protein 4,0.751
452,TNF receptor superfamily member 13C,0.00652
453,calcium/calmodulin dependent protein kinase II inhibitor 2,0.284
454,ankyrin repeat domain 30B pseudogene 2,0.295
455,potassium voltage-gated channel modifier subfamily G member 3,0.362
456,potassium voltage-gated channel modifier subfamily G member 3,0.239
457,long intergenic non-protein coding RNA 1312,0.54
458,long intergenic non-protein coding RNA 1312,0.126
459,forkhead box P2,0.139
460,"beta-1,4-N-acetyl-galactosaminyltransferase 2",0.528
461,neuropilin and tolloid like 1,0.765
462,fragile X mental retardation 1 neighbor,0.206
463,germinal center associated signaling and motility like,0.00024
464,sialic acid binding Ig like lectin 11,0.274
465,sialic acid binding Ig like lectin 11,0.89
466,interleukin 23 receptor,0.0322
467,MAGE family member B18,0.363
468,CD276 molecule,0.837
469,interferon lambda 2,0.0939
470,interferon lambda 1,0.082
471,chromosome 4 open reading frame 36,0.9
472,fidgetin like 1,0.106
473,regulating synaptic membrane exocytosis 1,0.243
474,phosphatidylinositol transfer protein membrane associated 2,0.0415
475,phosphatidylinositol transfer protein membrane associated 2,0.000125
476,protocadherin 10,0.337
477,TGF-beta activated kinase 1/MAP3K7 binding protein 3,0.0338
478,TGF-beta activated kinase 1/MAP3K7 binding protein 3,0.392
479,G protein-coupled receptor kinase 7,0.103
480,membrane metallo-endopeptidase-like 1,0.181
481,phosphodiesterase 8A,0.777
482,NLR family pyrin domain containing 6,0.0525
483,AKNA domain containing 1,0.937
484,zinc finger CCHC-type containing 5,0.436
485,ATR interacting protein///three prime repair exonuclease 1,0.257
486,Zic family member 5,0.343
487,angiopoietin 1,0.0555
488,transmembrane epididymal protein 1,0.743
489,uncharacterized LOC149373,0.313
490,gamma-aminobutyric acid type A receptor gamma1 subunit,0.234
491,pannexin 2,0.26
492,zinc finger protein 114,0.586
493,zinc finger protein 114,0.564
494,coiled-coil domain containing 27,0.423
495,cilia and flagella associated protein 161,0.804
496,"RNA binding motif protein, Y-linked, family 1, member A1 pseudogene///RNA binding motif protein, Y-linked, family 2, member F pseudogene",0.193
497,neuronal differentiation 2,0.478
498,chromosome 5 open reading frame 17,0.305
499,long intergenic non-protein coding RNA 208,0.54
500,dynein axonemal heavy chain 6,0.0788
501,leucine rich repeat containing 15,0.0476
502,,0.6
503,cilia and flagella associated protein 46,0.932
504,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",0.289
505,zinc finger protein 645,0.675
506,zinc finger MYM-type containing 6,0.253
507,zinc finger MYM-type containing 6,0.0357
508,sarcoglycan zeta,0.78
509,uncharacterized LOC100507431,0.898
510,Wnt family member 9B,0.15
511,,0.42
512,,0.761
513,DnaJ heat shock protein family (Hsp40) member B13,0.0394
514,canopy FGF signaling regulator 3,0.000466
515,secretory carrier membrane protein 1,0.907
516,long intergenic non-protein coding RNA 471,0.139
517,hyaluronan synthase 3,0.896
518,fibroblast growth factor 4,0.415
519,solute carrier family 30 member 8,0.221
520,uncharacterized protein BC008131,0.242
521,uncharacterized LOC439933,0.386
522,chromosome 11 open reading frame 65,0.43
523,family with sequence similarity 71 member E2,0.62
524,olfactory receptor family 5 subfamily P member 2,0.755
525,DPY30 domain containing 1,0.623
526,interleukin 27,0.578
527,IQ motif containing F1,0.109
528,defensin beta 125,0.905
529,WAP four-disulfide core domain 10B,0.86
530,defensin beta 105B///defensin beta 105A,0.194
531,polycystic kidney and hepatic disease 1 (autosomal recessive),0.857
532,"polycystin 1 like 1, transient receptor potential channel interacting",0.0897
533,adhesion G protein-coupled receptor G4,0.257
534,teneurin transmembrane protein 1,0.215
535,"REX1, RNA exonuclease 1 homolog-like 1, pseudogene",0.566
536,TATA-box binding protein associated factor 1 like,0.306
537,contactin associated protein like 5,0.74
538,RecQ like helicase 4,0.0104
539,adhesion G protein-coupled receptor F3,0.214
540,transmembrane channel like 2,0.492
541,"Smith-Magenis syndrome chromosome region, candidate 5 (non-protein coding)",0.917
542,BICD cargo adaptor 2,0.00209
543,zinc finger imprinted 3,0.161
544,"NADPH oxidase, EF-hand calcium binding domain 5",0.521
545,DAOA antisense RNA 1,0.204
546,adhesion G protein-coupled receptor G6,0.215
547,kelch like family member 4,0.904
548,G protein-coupled receptor 156,0.848
549,sulfite oxidase,0.000589
550,adhesion G protein-coupled receptor F4,0.305
551,interleukin 31 receptor A,0.473
552,synaptotagmin like 5,0.673
553,serologically defined colon cancer antigen 8,0.0157
554,adhesion G protein-coupled receptor F2,0.409
555,synapsin II,0.839
556,ankyrin repeat and SOCS box containing 10,0.0617
557,5-hydroxytryptamine receptor 3C,0.605
558,NFKB inhibitor delta,0.37
559,CD300 molecule like family member f,0.933
560,gap junction protein alpha 10,0.465
561,Wnt family member 9A,0.895
562,galactose-3-O-sulfotransferase 2,0.164
563,phosphatidylinositol-5-phosphate 4-kinase type 2 beta,0.556
564,phosphatidylinositol-5-phosphate 4-kinase type 2 beta,0.0759
565,outer dense fiber of sperm tails 3,0.606
566,WAP four-disulfide core domain 13,0.914
567,long intergenic non-protein coding RNA 521,0.807
568,schlafen family member 5,0.0837
569,serpin family B member 12,0.959
570,GIPC PDZ domain containing family member 3,0.39
571,peptidoglycan recognition protein 3,0.0502
572,protein serine kinase H2,0.452
573,olfactory receptor family 6 subfamily W member 1 pseudogene,0.702
574,monoacylglycerol O-acyltransferase 1,0.755
575,G protein-coupled receptor 78,0.0961
576,"H1 histone family member O, oocyte specific",0.013
577,trace amine associated receptor 9 (gene/pseudogene),0.136
578,gonadotropin releasing hormone receptor 2 (pseudogene),4.71e-05
579,,0.441
580,myozenin 3,0.894
581,myozenin 3,0.0501
582,BCL2 interacting protein like,0.937
583,ankyrin repeat and SOCS box containing 11,0.33
584,orofacial cleft 1 candidate 1,0.353
585,orofacial cleft 1 candidate 1,0.586
586,"short chain dehydrogenase/reductase family 9C, member 7",0.229
587,olfactory receptor family 5 subfamily P member 3,0.828
588,tripartite motif containing 40,0.0959
589,"casein alpha s2-like A, pseudogene",0.182
590,WAP four-disulfide core domain 12,0.324
591,crystallin gamma N,0.453
592,,0.19
593,StAR related lipid transfer domain containing 6,0.11
594,chromosome 11 open reading frame 40,0.396
595,chromosome 18 open reading frame 12,0.45
596,BCL2 like 11,0.013
597,WAP four-disulfide core domain 2,0.565
598,defensin beta 119,0.664
599,uncharacterized LOC729220///tachykinin 4 (hemokinin),0.545
600,BCL2 like 11,0.277
601,tigger transposable element derived 1,0.152
602,"alkB homolog 5, RNA demethylase",6.7e-08
603,coiled-coil domain containing 69,0.328
604,"nuclear transcription factor, X-box binding 1",0.937
605,desmoglein 2,0.952
606,chromosome 5 open reading frame 24,0.657
607,chromosome 5 open reading frame 24,0.5
608,chromosome 5 open reading frame 24,0.514
609,kelch repeat and BTB domain containing 6,0.0351
610,cyclin dependent kinase 8,3.95e-05
611,cyclin dependent kinase 8,0.0047
612,protein tyrosine kinase 6,0.0277
613,naked cuticle homolog 1,0.621
614,serine/threonine kinase 38,6.12e-09
615,thioesterase superfamily member 4,0.218
616,claspin,0.225
617,RB associated KRAB zinc finger,0.86
618,WD repeat domain 62,0.000485
619,WD repeat domain 62,0.000263
620,solute carrier family 39 member 12,0.226
621,ring finger protein 168,0.448
622,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",0.917
623,potassium channel tetramerization domain containing 5 pseudogene,0.458
624,GATA binding protein 4,0.318
625,"tandem C2 domains, nuclear",0.108
626,chromosome 9 open reading frame 72,0.336
627,chromosome 9 open reading frame 72,0.195
628,potassium channel tetramerization domain containing 18,0.595
629,Kruppel like factor 11,0.000835
630,ankyrin repeat and LEM domain containing 1,0.225
631,plexin A3,0.0177
632,pelota homolog (Drosophila),0.851
